"Species","Rank","Factor_Score","Fishing_Mortality","OFL","OFL_Attain_Percent","Total_Below_OFL","ABC","ABC_Attain_Percent"
"quillback rockfish",1,10,27.006160185,12.758006,2.11680102556779,-14.248154185,10.640177004,2.53813072610047
"squarespot rockfish",1,10,16.4012704796667,11.2751963333333,1.45463280592098,-5.12607414633333,9.403513742,1.74416403587648
"rosethorn rockfish",1,10,21.4060915203333,15.0183973326667,1.42532462327207,-6.38769418766667,12.5253433753333,1.70902233007753
"vermilion rockfish",1,10,386.092120472667,278.995448014333,1.38386530397023,-107.096672458333,232.682203644,1.65931091603113
"stripetail rockfish",1,10,79.0994541666667,64.0124426666667,1.23568873286968,-15.0870115,53.3863771833333,1.48164116652892
"blue rockfish",6,8,407.477607023333,431.643333333333,0.944014596209834,24.16572631,378.748193333333,1.07585359929286
"rougheye rockfish",7,7,384.444285780667,443.32,0.867193642923095,58.8757142193334,404.75116,0.949828743617848
"petrale sole",7,7,2567.23615053033,3056.66666666667,0.839880965277099,489.430516136333,2922.17333333333,0.878536574557635
"redbanded rockfish",7,7,46.491946964,55.6783233333333,0.835009823942855,9.18637636933333,46.435721661,1.0012108200538
"treefish",7,7,11.0624866293333,13.445981668,0.822735513291742,2.38349503866667,11.214108945,0.986479325605779
"widow rockfish",7,7,9523.28741123767,12442,0.765414516254434,2918.71258876233,11894.552,0.800642799429324
"flathead sole",12,5,20.9389613333333,35,0.598256038095238,14.0610386666667,24.29,0.8620404007136
"sablefish",12,5,5065.048359017,8488.66666666667,0.596683620397825,3423.61830764967,7750.33333333333,0.653526518302482
"starry rockfish",12,5,36.346446177,62.584782666,0.580755331067814,26.238336489,52.195708744,0.696349317819697
"China rockfish",12,5,24.815723734,42.9266666666667,0.578095754014599,18.1109429326667,39.1972133333333,0.633099182918106
"shortraker rockfish",12,5,10.733480725,18.8058236656667,0.570753023947356,8.07234294066667,15.6840569366667,0.684356143843558
"Pacific spiny dogfish",12,5,1360.50982856467,2486,0.54726863578627,1125.49017143533,2070.838,0.656985157006326
"brown rockfish",12,5,95.0118011653333,179.996933333333,0.527852332847152,84.985132168,164.331433466667,0.578171802929022
"gopher rockfish",12,5,88.8217885176667,168.478191616667,0.527200509842604,79.656403099,140.510811806667,0.632134903895363
"copper rockfish",12,5,169.836589057,333.932633333333,0.508595363566843,164.096044276333,304.8922609,0.557038045359583
"yellowtail rockfish",21,3,3714.042406065,7532.092788,0.493095678797551,3818.050381935,6976.5933852,0.53235758499899
"darkblotched rockfish",21,3,367.378625622,778.666666666667,0.471804741809075,411.288041044667,744.249333333333,0.493623049652715
"black rockfish",21,3,781.098109759667,1671.03333333333,0.4674341882825,889.935223573667,1553.2268,0.50288735023093
"silvergray rockfish",21,3,71.2336494323333,159.938656662667,0.445381066208248,88.7050072303333,133.388839653333,0.534030055418907
"aurora rockfish",21,3,38.2176660426667,92.0654,0.415114321370099,53.8477339573333,87.64626,0.436044459200731
"canary rockfish",21,3,556.72940135,1514.66666666667,0.367559023778609,957.937265316667,1448.02133333333,0.384475966295616
"flag rockfish",21,3,8.41467319866667,23.4975103316667,0.358109139219168,15.082837133,19.5969236173333,0.429387457081475
"big skate",21,3,178.722128542,541,0.330355135937153,362.277871458,493.933,0.3618347600626
"honeycomb rockfish",21,3,3.26121701033333,9.87785933333333,0.330154226769376,6.616642323,8.238134684,0.395868377421314
"California scorpionfish",21,3,100.063236317667,315.333333333333,0.317325273734672,215.270097015667,291.462,0.343314862032329
"curlfin sole",21,3,2.562597294,8.24220384333333,0.310911661821218,5.67960654933333,5.72008946733333,0.44799951270599
"yelloweye rockfish",21,3,22.146472719,74.4,0.297667644072581,52.253527281,66.3938666666667,0.333562026597838
"longnose skate",21,3,681.278912848,2499.66666666667,0.272547904859848,1818.38775381867,2389.68133333333,0.285091950690218
"blackgill rockfish",21,3,44.7806637633333,169.366666666667,0.26440069137965,124.586002903333,154.260466666667,0.290292546956295
"rosy rockfish",21,3,12.5430012376667,47.528138332,0.263906849244748,34.9851370943333,39.638467368,0.316435071043957
