"Species","Rank","Factor_Score","Subsitence_Score","Initial_Factor_Score","Interum_Value","Revenue"
"sablefish",1,10,3,7,18.7414902625757,11779694
"petrale sole",2,7.24645505840049,2,5.24645505840049,14.0466266271505,2373560
"yellowtail rockfish",3,7.18087680125139,3,4.18087680125139,11.1936945513831,672404
"Pacific cod",4,6.95647119152952,3,3.95647119152952,10.5928809014588,494906
"lingcod",5,6.59804712604336,3,3.59804712604336,9.63325216814714,292015
"canary rockfish",6,5.64319553398376,3,2.64319553398376,7.07677476603429,52639
"rex sole",7,5.22755118048993,2,3.22755118048993,8.64130271730238,159668
"Dover sole",8,5.11481265115963,1.5,3.61481265115963,9.67813944324907,299655
"sand sole",9,4.77523149886468,2,2.77523149886468,7.43028201605224,69011
"English sole",10,4.76308824318266,1.5,3.26308824318266,8.73644807650472,169683
"big skate",11,4.65362457984124,2.5,2.15362457984124,5.76601915604832,16869
"longnose skate",12,4.4282538111655,2,2.4282538111655,6.50129930814579,32860
"widow rockfish",13,4.41856247736418,2,2.41856247736418,6.47535215985023,32138
"black rockfish",14,4.28607243937004,3,1.28607243937004,3.44327344277435,962
"shortraker rockfish",15,3.81602496944964,2,1.81602496944964,4.86214489736211,6542
"yelloweye rockfish",16,3.79793080418519,2,1.79793080418519,4.81370037991736,6188
"shortspine thornyhead",17,3.40308218299019,0,3.40308218299019,9.11126165646507,214285
"copper rockfish",18,3.05469923904381,2.5,0.554699239043805,1.48512719817109,9
"quillback rockfish",19,2.83957127275376,2,0.839571272753756,2.2478309761504,90
"redbanded rockfish",20,2.68115910461342,0,2.68115910461342,7.17841675021835,56979
"starry flounder",21,2.58417980941204,2,0.584179809412041,1.56405717281272,12
"Pacific ocean perch",22,2.57367433493868,1,1.57367433493868,4.21328603210264,2952
"brown rockfish",23,2.5,2.5,0,0,0
"China rockfish",24,2.5,2.5,0,0,0
"blue rockfish",25,2.5,2.5,0,0,0
"rock sole",26,2.07719763022282,0,2.07719763022282,5.56139702289519,13801
"Pacific spiny dogfish",27,2.00818523294685,0,2.00818523294685,5.3766262841031,11439
"cabezon",28,2,2,0,0,0
"Pacific sanddab",29,2,2,0,0,0
"rougheye rockfish",30,2,2,0,0,0
"kelp greenling",31,2,2,0,0,0
"bocaccio",32,1.98618696442455,0,1.98618696442455,5.31772909334535,10760
"longspine thornyhead",33,1.65617166451364,0,1.65617166451364,4.43416073194801,3921
"darkblotched rockfish",34,1.48526832218114,0,1.48526832218114,3.97659168535285,2141
"greenstriped rockfish",35,1.29785570548573,0,1.29785570548573,3.47482143808416,1012
"arrowtooth flounder",36,1.18517187347245,0,1.18517187347245,3.17312673230894,611
"blackgill rockfish",37,1.07752751430202,0,1.07752751430202,2.88492448813552,360
"splitnose rockfish",38,1.04211280490107,0,1.04211280490107,2.79010671222269,299
"sharpchin rockfish",39,0.798262122829637,0,0.798262122829637,2.13723168599923,68
"bank rockfish",40,0.584179809412041,0,0.584179809412041,1.56405717281272,12
"greenspotted rockfish",41,0.584179809412041,0,0.584179809412041,1.56405717281272,12
"chilipepper",42,0.499009161620596,0,0.499009161620596,1.33602504906407,5
"gopher rockfish",43,0,0,0,0,0
"cowcod",44,0,0,0,0,0
"treefish",45,0,0,0,0,0
"grass rockfish",46,0,0,0,0,0
"squarespot rockfish",47,0,0,0,0,0
"speckled rockfish",48,0,0,0,0,0
"olive rockfish",49,0,0,0,0,0
"kelp rockfish",50,0,0,0,0,0
"starry rockfish",51,0,0,0,0,0
"flathead sole",52,0,0,0,0,0
"flag rockfish",53,0,0,0,0,0
"California scorpionfish",54,0,0,0,0,0
"aurora rockfish",55,0,0,0,0,0
"vermilion rockfish",56,0,0,0,0,0
"honeycomb rockfish",57,0,0,0,0,0
